No,Kode,Nama Perusahaan,Tanggal Pencatatan,Saham,Papan Pencatatan
1,AALI,Astra Agro Lestari Tbk.,09 Des 1997,1.924.688.333,Utama
2,ABBA,Mahaka Media Tbk.,03 Apr 2002,3.935.892.857,Pemantauan Khusus
3,ABDA,Asuransi Bina Dana Arta Tbk.,06 Jul 1989,620.806.680,Pemantauan Khusus
4,ABMM,ABM Investama Tbk.,06 Des 2011,2.753.165.000,Utama
5,ACES,Aspirasi Hidup Indonesia Tbk.,06 Nov 2007,17.150.000.000,Utama
6,ACRO,Samcro Hyosung Adilestari Tbk.,11 Jan 2024,3.469.139.732,Pengembangan
7,ACST,Acset Indonusa Tbk.,24 Jun 2013,12.675.160.000,Pengembangan
8,ADCP,Adhi Commuter Properti Tbk.,21 Mei 2021,22.222.222.200,Pengembangan
9,ADES,Akasha Wira International Tbk.,13 Jun 1994,589.896.800,Pemantauan Khusus
10,ADHI,Adhi Karya (Persero) Tbk.,18 Mar 2004,8.407.608.979,Utama
11,ADMF,Adira Dinamika Multi Finance T,31 Mar 2004,1.000.000.000,Pengembangan
12,ADMG,Polychem Indonesia Tbk,20 Okt 1993,3.889.179.559,Pengembangan
13,ADMR,Adaro Minerals Indonesia Tbk.,03 Jan 2022,40.882.331.500,Utama
14,ADRO,Adaro Energy Indonesia Tbk.,16 Jul 2008,31.985.962.000,Utama
15,AEGS,Anugerah Spareparts Sejahtera ,11 Sep 2023,1.006.012.052,Akselerasi
16,AGAR,Asia Sejahtera Mina Tbk.,02 Des 2019,1.000.000.000,Pengembangan
17,AGII,Samator Indo Gas Tbk.,28 Sep 2016,3.066.660.000,Pengembangan
18,AGRO,Bank Raya Indonesia Tbk.,08 Agt 2003,24.493.093.216,Utama
19,AGRS,Bank IBK Indonesia Tbk.,22 Des 2014,37.366.710.073,Pengembangan
20,AHAP,Asuransi Harta Aman Pratama Tb,14 Sep 1990,4.900.000.000,Pengembangan
21,AIMS,Artha Mahiya Investama Tbk.,20 Jul 2001,220.000.000,Pemantauan Khusus
22,AISA,FKS Food Sejahtera Tbk.,11 Jun 1997,9.311.800.000,Utama
23,AKKU,Anugerah Kagum Karya Utama Tbk,01 Nov 2004,6.449.463.636,Pemantauan Khusus
24,AKPI,Argha Karya Prima Industry Tbk,18 Des 1992,612.248.000,Pengembangan
25,AKRA,AKR Corporindo Tbk.,03 Okt 1994,20.073.474.600,Utama
26,AKSI,Mineral Sumberdaya Mandiri Tbk,13 Jul 2001,720.000.000,Pengembangan
27,ALDO,Alkindo Naratama Tbk.,12 Jul 2011,2.700.713.744,Pengembangan
28,ALII,Ancara Logistics Indonesia Tbk,07 Feb 2024,15.825.800.000,Utama
29,ALKA,Alakasa Industrindo Tbk,12 Jul 1990,507.665.055,Pengembangan
30,ALMI,Alumindo Light Metal Industry ,02 Jan 1997,3.816.000.000,Pemantauan Khusus
31,ALTO,Tri Banyan Tirta Tbk.,10 Jul 2012,2.191.870.558,Pemantauan Khusus
32,AMAG,Asuransi Multi Artha Guna Tbk.,23 Des 2005,5.001.552.516,Pengembangan
33,AMAN,Makmur Berkah Amanda Tbk.,13 Mar 2020,3.873.500.000,Pengembangan
34,AMAR,Bank Amar Indonesia Tbk.,09 Jan 2020,18.197.283.760,Pengembangan
35,AMFG,Asahimas Flat Glass Tbk.,08 Nov 1995,434.000.000,Utama
36,AMIN,Ateliers Mecaniques D Indonesi,10 Des 2015,1.080.000.000,Pengembangan
37,AMMN,Amman Mineral Internasional Tb,07 Jul 2023,72.518.217.656,Utama
38,AMMS,Agung Menjangan Mas Tbk.,04 Agt 2022,1.200.053.972,Akselerasi
39,AMOR,Ashmore Asset Management Indon,14 Jan 2020,2.222.222.400,Pengembangan
40,AMRT,Sumber Alfaria Trijaya Tbk.,15 Jan 2009,41.524.501.700,Utama
41,ANDI,Andira Agro Tbk.,16 Agt 2018,9.350.000.000,Pemantauan Khusus
42,ANJT,Austindo Nusantara Jaya Tbk.,08 Mei 2013,3.354.175.000,Pengembangan
43,ANTM,Aneka Tambang Tbk.,27 Nov 1997,24.030.764.725,Utama
44,APEX,Apexindo Pratama Duta Tbk.,05 Jun 2013,3.546.466.661,Pengembangan
45,APIC,Pacific Strategic Financial Tb,18 Des 2002,11.766.313.488,Pengembangan
46,APII,Arita Prima Indonesia Tbk.,29 Okt 2013,1.075.760.000,Pengembangan
47,APLI,Asiaplast Industries Tbk.,01 Mei 2000,1.362.671.400,Pengembangan
48,APLN,Agung Podomoro Land Tbk.,11 Nov 2010,22.699.326.779,Utama
49,ARCI,Archi Indonesia Tbk.,28 Jun 2021,24.835.000.000,Pengembangan
50,AREA,Dunia Virtual Online Tbk.,01 Apr 2024,2.539.601.000,Pengembangan
51,ARGO,Argo Pantes Tbk,07 Jan 1991,3.174.339.029,Pengembangan
52,ARII,Atlas Resources Tbk.,08 Nov 2011,3.431.000.000,Pengembangan
53,ARKA,Arkha Jayanti Persada Tbk.,10 Jul 2019,2.000.000.000,Pemantauan Khusus
54,ARKO,Arkora Hydro Tbk.,08 Jul 2022,2.928.495.000,Pengembangan
55,ARMY,Armidian Karyatama Tbk.,21 Jun 2017,9.006.250.000,Pemantauan Khusus
56,ARNA,Arwana Citramulia Tbk.,17 Jul 2001,7.341.430.976,Utama
57,ARTA,Arthavest Tbk,05 Nov 2002,446.674.175,Pengembangan
58,ARTI,Ratu Prabu Energi Tbk,30 Apr 2003,7.840.000.000,Pemantauan Khusus
59,ARTO,Bank Jago Tbk.,12 Jan 2016,13.718.448.700,Utama
60,ASBI,Asuransi Bintang Tbk.,29 Nov 1989,348.386.472,Pengembangan
61,ASDM,Asuransi Dayin Mitra Tbk.,15 Des 1989,384.000.000,Pengembangan
